0    [main] INFO  space.exploration.mars.rover.kernel.Rover  - Rover current position is = java.awt.Point[x=350,y=250]
1006 [main] INFO  space.exploration.mars.rover.sensor.Lidar  - Lidar initialized and ready!
2011 [main] INFO  space.exploration.mars.rover.sensor.Spectrometer  - Spectrometer initialized and ready!
3315 [main] INFO  space.exploration.mars.rover.sensor.Camera  - Camera initialized and ready!
4319 [main] INFO  space.exploration.mars.rover.sensor.Radar  - Radar configured:: 
5322 [main] INFO  space.exploration.mars.rover.power.Battery  - Battery configured, batteryLife:primaryPowerUnits = 10000 auxiliaryPowerUnits = 1000 alertThreshold: 100 rechargeTime = 60000
5586 [main] INFO  kafka.utils.VerifiableProperties  - Verifying properties
5609 [main] WARN  kafka.utils.VerifiableProperties  - Property auto.offset.reset is not valid
5609 [main] WARN  kafka.utils.VerifiableProperties  - Property destination.topic is not valid
5609 [main] WARN  kafka.utils.VerifiableProperties  - Property group.id is not valid
5610 [main] INFO  kafka.utils.VerifiableProperties  - Property metadata.broker.list is overridden to localhost:9092
5610 [main] WARN  kafka.utils.VerifiableProperties  - Property source.topic is not valid
5610 [main] WARN  kafka.utils.VerifiableProperties  - Property zookeeper.connect is not valid
5646 [main] INFO  kafka.utils.VerifiableProperties  - Verifying properties
5646 [main] INFO  kafka.utils.VerifiableProperties  - Property auto.offset.reset is overridden to largest
5646 [main] WARN  kafka.utils.VerifiableProperties  - Property destination.topic is not valid
5646 [main] INFO  kafka.utils.VerifiableProperties  - Property group.id is overridden to space.exploration.mars.rover
5647 [main] WARN  kafka.utils.VerifiableProperties  - Property metadata.broker.list is not valid
5647 [main] WARN  kafka.utils.VerifiableProperties  - Property source.topic is not valid
5647 [main] INFO  kafka.utils.VerifiableProperties  - Property zookeeper.connect is overridden to localhost:2181
10676 [main] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16], Connecting to zookeeper instance at localhost:2181
10683 [ZkClient-EventThread-22-localhost:2181] INFO  org.I0Itec.zkclient.ZkEventThread  - Starting ZkClient event thread.
15710 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
15710 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:host.name=10.36.201.55
15710 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.version=1.8.0_121
15710 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.vendor=Oracle Corporation
15710 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.home=/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre
