0    [main] INFO  space.exploration.mars.rover.kernel.Rover  - Rover current position is = java.awt.Point[x=350,y=250]
1006 [main] INFO  space.exploration.mars.rover.sensor.Lidar  - Lidar initialized and ready!
15710 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.class.path=/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/charsets.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/deploy.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/cldrdata.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/dnsns.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/jaccess.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/jfxrt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/localedata.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/nashorn.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/sunec.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/sunjce_provider.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/sunpkcs11.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/zipfs.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/javaws.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/jce.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/jfr.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/jfxswt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/jsse.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/management-agent.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/plugin.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/resources.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/rt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/lib/ant-javafx.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/lib/dt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/lib/javafx-mx.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/lib/jconsole.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/lib/packager.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/lib/sa-jdi.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/lib/tools.jar:/Users/sanketkorgaonkar/Documents/workspace/space.exploration/mars.rover/target/classes:/Users/sanketkorgaonkar/.m2/repository/com/google/protobuf/protobuf-java/3.2.0/protobuf-java-3.2.0.jar:/Users/sanketkorgaonkar/.m2/repository/org/apache/kafka/kafka_2.10/0.9.0.1/kafka_2.10-0.9.0.1.jar:/Users/sanketkorgaonkar/.m2/repository/com/101tec/zkclient/0.7/zkclient-0.7.jar:/Users/sanketkorgaonkar/.m2/repository/org/slf4j/slf4j-api/1.6.1/slf4j-api-1.6.1.jar:/Users/sanketkorgaonkar/.m2/repository/log4j/log4j/1.2.15/log4j-1.2.15.jar:/Users/sanketkorgaonkar/.m2/repository/javax/mail/mail/1.4/mail-1.4.jar:/Users/sanketkorgaonkar/.m2/repository/javax/activation/activation/1.1/activation-1.1.jar:/Users/sanketkorgaonkar/.m2/repository/org/apache/kafka/kafka-clients/0.9.0.1/kafka-clients-0.9.0.1.jar:/Users/sanketkorgaonkar/.m2/repository/org/xerial/snappy/snappy-java/1.1.1.7/snappy-java-1.1.1.7.jar:/Users/sanketkorgaonkar/.m2/repository/net/jpountz/lz4/lz4/1.2.0/lz4-1.2.0.jar:/Users/sanketkorgaonkar/.m2/repository/com/yammer/metrics/metrics-core/2.2.0/metrics-core-2.2.0.jar:/Users/sanketkorgaonkar/.m2/repository/org/scala-lang/scala-library/2.10.5/scala-library-2.10.5.jar:/Users/sanketkorgaonkar/.m2/repository/net/sf/jopt-simple/jopt-simple/3.2/jopt-simple-3.2.jar:/Users/sanketkorgaonkar/.m2/repository/org/slf4j/slf4j-log4j12/1.7.6/slf4j-log4j12-1.7.6.jar:/Users/sanketkorgaonkar/.m2/repository/org/apache/zookeeper/zookeeper/3.4.6/zookeeper-3.4.6.jar:/Users/sanketkorgaonkar/.m2/repository/jline/jline/0.9.94/jline-0.9.94.jar:/Users/sanketkorgaonkar/.m2/repository/io/netty/netty/3.7.0.Final/netty-3.7.0.Final.jar:/Users/sanketkorgaonkar/.m2/repository/org/tensorflow/tensorflow/1.1.0/tensorflow-1.1.0.jar:/Users/sanketkorgaonkar/.m2/repository/org/tensorflow/libtensorflow/1.1.0/libtensorflow-1.1.0.jar:/Users/sanketkorgaonkar/.m2/repository/org/tensorflow/libtensorflow_jni/1.1.0/libtensorflow_jni-1.1.0.jar:/Applications/IntelliJ IDEA CE.app/Contents/lib/idea_rt.jar
15710 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.library.path=/Users/sanketkorgaonkar/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.
15710 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.io.tmpdir=/var/folders/5h/gwr26fh90zs2zgrhjqr0pm1r0000gn/T/
15710 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.compiler=<NA>
15710 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:os.name=Mac OS X
15710 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:os.arch=x86_64
15710 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:os.version=10.12.4
15710 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:user.name=sanketkorgaonkar
15710 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:user.home=/Users/sanketkorgaonkar
15710 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:user.dir=/Users/sanketkorgaonkar/Documents/workspace/space.exploration/mars.rover
15711 [main] INFO  org.apache.zookeeper.ZooKeeper  - Initiating client connection, connectString=localhost:2181 sessionTimeout=6000 watcher=org.I0Itec.zkclient.ZkClient@1d119efb
15732 [main] INFO  org.I0Itec.zkclient.ZkClient  - Waiting for keeper state SyncConnected
15737 [main-SendThread(localhost:2181)] INFO  org.apache.zookeeper.ClientCnxn  - Opening socket connection to server localhost/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
15779 [main-SendThread(localhost:2181)] INFO  org.apache.zookeeper.ClientCnxn  - Socket connection established to localhost/127.0.0.1:2181, initiating session
15792 [main-SendThread(localhost:2181)] INFO  org.apache.zookeeper.ClientCnxn  - Session establishment complete on server localhost/127.0.0.1:2181, sessionid = 0x15c833c58bf003d, negotiated timeout = 6000
15794 [main-EventThread] INFO  org.I0Itec.zkclient.ZkClient  - zookeeper state changed (SyncConnected)
15802 [main] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16], starting auto committer every 60000 ms
15823 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16], begin registering consumer space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16 in ZK
15846 [Thread-2] INFO  kafka.utils.ZKCheckedEphemeral  - Creating /consumers/space.exploration.mars.rover/ids/space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16 (is it secure? false)
15860 [Thread-2] INFO  kafka.utils.ZKCheckedEphemeral  - Result of znode creation is: OK
15860 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16], end registering consumer space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16 in ZK
15864 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16_watcher_executor] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16], starting watcher executor thread for consumer space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16
15880 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16], begin rebalancing consumer space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16 try #0
15970 [Thread-2] INFO  kafka.consumer.ConsumerFetcherManager  - [ConsumerFetcherManager-1496935629968] Stopping leader finder thread
15970 [Thread-2] INFO  kafka.consumer.ConsumerFetcherManager  - [ConsumerFetcherManager-1496935629968] Stopping all fetchers
15971 [Thread-2] INFO  kafka.consumer.ConsumerFetcherManager  - [ConsumerFetcherManager-1496935629968] All connections stopped
15971 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16], Cleared all relevant queues for this fetcher
15972 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16], Cleared the data chunks in all the consumer message iterators
15972 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16], Committing all offsets after clearing the fetcher queues
15975 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16], Releasing partition ownership
15998 [Thread-2] INFO  kafka.consumer.RangeAssignor  - Consumer space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16 rebalancing the following partitions: ArrayBuffer(0) for topic secure_com_from_earth_channel_3 with consumers: List(space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16-0)
15999 [Thread-2] INFO  kafka.consumer.RangeAssignor  - space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16-0 attempting to claim partition 0
16025 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16], space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16-0 successfully owned partition 0 for topic secure_com_from_earth_channel_3
16043 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16], Consumer space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16 selected partitions : secure_com_from_earth_channel_3:0: fetched offset = 320: consumed offset = 320
16045 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16-leader-finder-thread] INFO  kafka.consumer.ConsumerFetcherManager$LeaderFinderThread  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16-leader-finder-thread], Starting 
16046 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16], end rebalancing consumer space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16 try #0
16054 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16-leader-finder-thread] INFO  kafka.utils.VerifiableProperties  - Verifying properties
16054 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16-leader-finder-thread] INFO  kafka.utils.VerifiableProperties  - Property client.id is overridden to space.exploration.mars.rover
16054 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16-leader-finder-thread] INFO  kafka.utils.VerifiableProperties  - Property metadata.broker.list is overridden to 10.36.201.55:9092
16054 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16-leader-finder-thread] INFO  kafka.utils.VerifiableProperties  - Property request.timeout.ms is overridden to 30000
16069 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16-leader-finder-thread] INFO  kafka.client.ClientUtils$  - Fetching metadata from broker BrokerEndPoint(0,10.36.201.55,9092) with correlation id 0 for 1 topic(s) Set(secure_com_from_earth_channel_3)
16078 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16-leader-finder-thread] INFO  kafka.producer.SyncProducer  - Connected to 10.36.201.55:9092 for producing
16104 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16-leader-finder-thread] INFO  kafka.producer.SyncProducer  - Disconnecting from 10.36.201.55:9092
16143 [ConsumerFetcherThread-space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16-0-0] INFO  kafka.consumer.ConsumerFetcherThread  - [ConsumerFetcherThread-space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16-0-0], Starting 
16145 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496935624843-b123ed16-leader-finder-thread] INFO  kafka.consumer.ConsumerFetcherManager  - [ConsumerFetcherManager-1496935629968] Added fetcher for partitions ArrayBuffer([[secure_com_from_earth_channel_3,0], initOffset 320 to broker BrokerEndPoint(0,10.36.201.55,9092)] )
16808 [main] INFO  space.exploration.mars.rover.communication.Radio  - Radio configured:: 
metadata.broker.list::localhost:9092
source.topic::secure_com_from_earth_channel_3
auto.offset.reset::largest
group.id::space.exploration.mars.rover
destination.topic::secure_com_to_earth_channel_3
zookeeper.connect::localhost:2181
17814 [main] INFO  space.exploration.mars.rover.sensor.Radar  - Radar configured:: 
