Designation,Discovery Date YYYY-MM-DD,H (mag),MOID (AU),q (AU),Q (AU),period (yr),i (deg),PHA,Orbit Class
(2014 AA53),01/13/2014,19.8,0.14,0.78,3.97,3.66,12.45,N,Apollo
(2014 AQ46),01/02/2014,20.1,0.205,1.13,3.7,3.75,24.6,N,Amor
(2013 YP139),12/29/2013,21.6,0.004,0.76,4.05,3.73,0.82,Y,Apollo
(2011 BN59),01/29/2011,20.4,0.326,1.16,4.97,5.36,20.32,N,Amor
(2011 BY24),01/24/2011,22.6,0.017,0.96,2.83,2.6,13.95,N,Apollo
(2010 YD3),12/26/2010,20,0.195,1.11,4.05,4.14,24.61,N,Amor
(2010 YC1),12/21/2010,21.3,0.163,0.83,2,1.68,17.66,N,Apollo
(2010 XY82),12/14/2010,19.1,0.294,1.12,3.26,3.24,26.73,N,Amor
(2010 XP69),12/08/2010,21.4,0.015,1,2.05,1.88,14.6,Y,Apollo
(2010 XZ67),12/10/2010,19.7,0.063,1.04,3.08,2.96,11.84,N,Amor
(2010 WE9),11/23/2010,20,0.256,1.17,1.94,1.94,42.12,N,Amor
(2010 UB8),10/27/2010,19.7,0.194,1.11,4.85,5.15,30.97,N,Amor
(2010 UY6),10/23/2010,20.1,0.062,1.04,4.28,4.34,19.98,N,Amor
(2010 TK7),10/01/2010,20.8,0.087,0.81,1.19,1,20.89,N,Aten
(2010 QA5),08/29/2010,22.5,0.065,1.07,4.76,4.97,33.45,N,Amor
(2010 QE2),08/25/2010,17.2,0.056,0.88,5.86,6.19,64.75,N,Apollo
(2010 PY75),08/15/2010,18.7,0.243,0.6,4.72,4.34,31.29,N,Apollo
(2010 PU66),08/03/2010,22.1,0.148,0.91,2.07,1.81,18.09,N,Apollo
(2010 PW58),08/05/2010,21.3,0.021,0.7,1.08,0.84,14.24,Y,Aten
(2010 PP58),08/05/2010,22.1,0.014,0.99,3,2.81,4.55,N,Apollo
(2010 PM58),08/01/2010,20.9,0.096,0.74,2,1.61,13.6,N,Apollo
P/2010 P4 (WISE),08/06/2010,,0.854,1.86,5.55,7.13,24.1,n/a,Jupiter-family Comet
(2010 OK126),07/30/2010,20.7,0.149,1.08,2.83,2.74,52.56,N,Amor
(2010 OH126),07/31/2010,21.4,0.068,0.95,2.85,2.62,14.38,N,Apollo
(2010 ON101),07/30/2010,20.2,0.044,0.96,2.3,2.08,9.31,Y,Apollo
(2010 OL101),07/27/2010,20.4,0.298,1.05,4.17,4.22,26.11,N,Amor
(2010 OF101),07/23/2010,19.6,0.062,0.64,1.26,0.93,23.37,N,Aten
(2010 OD101),07/23/2010,20.7,0.19,1.04,2.2,2.06,15.39,N,Amor
(2010 OC101),07/22/2010,20.7,0.092,0.94,1.5,1.35,13.6,N,Apollo
(2010 OL100),07/28/2010,19.6,0.129,0.78,3.74,3.4,22.16,N,Apollo
(2010 OE22),07/17/2010,21.3,0.178,0.97,4.31,4.28,14.32,N,Apollo
(2010 NY65),07/14/2010,21.4,0.017,0.63,1.37,1,11.74,Y,Aten
(2010 NG3),07/08/2010,17.2,0.127,1.13,4.08,4.2,26.96,N,Amor
(2010 NB2),07/10/2010,20.3,0.102,0.5,3.67,3.01,28.66,N,Apollo
(2010 NU1),07/06/2010,21.2,0.336,0.48,4.33,3.74,34.58,N,Apollo
(2010 NT1),07/04/2010,19.4,0.208,1.14,1.78,1.76,39.52,N,Amor
(2010 NG1),07/02/2010,20.4,0.081,0.57,1.13,0.78,24.74,N,Aten
P/2010 N1 (WISE),07/05/2010,,0.491,1.49,4.92,5.74,12.88,n/a,Jupiter-family Comet
(2010 MA113),06/25/2010,19.2,0.081,0.89,3.68,3.46,39.85,N,Apollo
